2026-02-04 18:26:49 [SCORE] No existing scores.txt, starting fresh.
2026-02-04 18:35:07 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:35:10 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:35:11 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:35:12 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:35:13 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:35:14 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:35:14 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:35:15 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:35:16 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:35:17 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:35:18 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:35:18 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:35:19 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:35:20 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:35:21 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:35:22 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:35:22 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:35:23 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:35:24 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:35:25 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:35:26 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:35:26 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:35:27 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:35:28 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:35:29 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:35:30 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:35:30 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:35:31 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:35:32 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:35:33 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:35:34 [SCHED] Turn moved: 2 -> 3
